evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
12008,8,172,1.7565e-05,0.00235306,0.000685786,0.000187034,6.2237e-05,0.00343758
12010,10,127,1.2746e-05,0.00227549,0.00056549,0.000196155,5.0097e-05,0.00317943
12011,2,51,5.024e-06,0.00257954,6.785e-06,4.3826e-05,1.9061e-05,0.00267515
12012,4,81,8.236e-06,0.002127,0.000429528,0.000100864,1.9846e-05,0.00272344
12013,4,88,1.2572e-05,0.00219742,8.6646e-05,0.000166122,3.4603e-05,0.00255186
12014,2,55,6.732e-06,0.00206401,9.6437e-05,7.5341e-05,3.6966e-05,0.00230242
12016,1,64,6.885e-06,0.00208721,7.082e-06,4.9376e-05,2.0832e-05,0.00219367
12017,1,13,3.013e-06,0.0020188,5.131e-06,1.5356e-05,9.541e-06,0.00206044
12018,2,39,4.558e-06,0.00204313,5.434e-06,3.2335e-05,1.4315e-05,0.00211717
12019,6,94,9.391e-06,0.00216093,3.0634e-05,0.000117148,2.7463e-05,0.00239364
12020,4,63,6.716e-06,0.00211688,3.2252e-05,5.6066e-05,1.9318e-05,0.00226317
12021,4,59,5.737e-06,0.00261524,1.0063e-05,8.9507e-05,1.8834e-05,0.00276708
12023,9,151,1.7943e-05,0.00241348,0.00015878,0.000176703,6.8228e-05,0.00292853
12025,8,545,7.3117e-05,0.00306725,0.00312157,0.00098755,0.000287871,0.00807276
12026,5,105,1.0145e-05,0.00237997,9.0488e-05,0.0001766,3.6644e-05,0.00275405
12028,6,114,1.0986e-05,0.002236,2.636e-05,0.000133192,3.749e-05,0.00250752
12029,4,80,1.0547e-05,0.00214952,0.00015783,0.000100638,2.8902e-05,0.00249226
12030,2,38,6.878e-06,0.00204703,2.429e-06,4.181e-05,3.508e-06,0.00212299
12031,4,44,5.263e-06,0.00206737,8.739e-06,5.9754e-05,1.9487e-05,0.00217938
12032,1,18,3.556e-06,0.00202643,5.806e-06,2.5284e-05,1.7762e-05,0.00208963
12033,6,111,1.0338e-05,0.00214601,6.8371e-05,9.3891e-05,3.6067e-05,0.00241842
12034,7,186,1.7402e-05,0.00226249,0.000653699,0.00023086,5.3696e-05,0.0033063
12035,3,43,4.894e-06,0.00206598,9.165e-06,3.5202e-05,1.9093e-05,0.00215283
12037,2,73,8.148e-06,0.00212623,9.07e-06,6.4985e-05,2.743e-05,0.002265
12038,6,209,2.0497e-05,0.00227619,0.000413481,0.000405553,0.000107818,0.00333105
12039,5,95,1.0067e-05,0.00220765,7.2505e-05,0.000154023,2.4751e-05,0.00251862
12041,4,80,1.1324e-05,0.00211615,0.000279065,9.8292e-05,1.7226e-05,0.00256362
12042,3,75,1.0009e-05,0.00214207,1.5503e-05,0.000145972,1.9919e-05,0.00236508
12043,5,82,7.692e-06,0.00213135,8.9e-06,6.4012e-05,2.7112e-05,0.00227065
12045,3,62,6.07e-06,0.00214415,6.995e-06,4.9917e-05,2.5681e-05,0.00225975
12046,16,333,3.341e-05,0.00284189,0.000572012,0.00041313,0.000149615,0.00437338
12047,5,94,9.261e-06,0.00219592,9.5022e-05,0.000101253,3.0747e-05,0.00247503
12048,2,36,4.604e-06,0.00212049,5.563e-06,3.3393e-05,1.7569e-05,0.0021988
12049,3,62,6.64e-06,0.00212162,5.0375e-05,5.4698e-05,2.349e-05,0.00228682
12050,2,53,5.602e-06,0.00211057,6.132e-06,4.3325e-05,1.9031e-05,0.0022063
12053,2,59,5.976e-06,0.0020951,4.524e-06,4.5383e-05,2.0103e-05,0.00219304
12055,6,124,1.2775e-05,0.00213353,0.000316607,0.000103867,2.7187e-05,0.00264671
12056,4,66,6.738e-06,0.00212895,8.114e-06,6.1743e-05,2.419e-05,0.00225834
12057,5,80,8.056e-06,0.00213423,5.7972e-05,6.848e-05,2.1292e-05,0.00233339
12058,1,150,1.3867e-05,0.00208397,0.000661191,0.0003435,4.4808e-05,0.00319307
12059,11,151,1.6321e-05,0.00227061,0.000403954,0.000244672,5.2184e-05,0.00310116
12060,3,52,6.413e-06,0.00212911,4.775e-06,4.3917e-05,2.1089e-05,0.00222716
12061,5,61,8.586e-06,0.00252236,9.335e-06,5.3712e-05,2.2507e-05,0.00266127
12062,3,39,5.617e-06,0.00226744,7.957e-06,4.0755e-05,1.8412e-05,0.00235874
12063,3,111,1.0331e-05,0.00235677,0.000112992,0.000106847,3.5463e-05,0.00267278
12064,1,27,4.064e-06,0.00203229,3.376e-06,2.4785e-05,1.2971e-05,0.00208964
12066,9,179,2.0114e-05,0.00240009,0.000353215,0.000234166,5.2515e-05,0.00317775
12067,4,62,6.299e-06,0.00212534,6.0766e-05,6.0302e-05,1.9246e-05,0.00230078
12068,6,108,1.193e-05,0.00227341,0.000163793,0.000163076,3.1807e-05,0.00269957
12069,3,141,1.3894e-05,0.00217046,0.000199897,0.000138941,2.9088e-05,0.00261007
12072,6,104,1.0853e-05,0.00224721,4.5499e-05,0.000164903,2.8905e-05,0.00255412
12073,9,239,2.3953e-05,0.00242434,0.000523288,0.000293994,9.1469e-05,0.00354735
12074,3,24,4.048e-06,0.00254248,6.765e-06,2.4141e-05,1.0663e-05,0.0026023
12075,5,74,7.466e-06,0.00213125,0.000168949,7.4569e-05,2.5422e-05,0.00244659
12076,15,477,7.0619e-05,0.00338259,0.00187802,0.000551228,0.000157279,0.00651827
12077,14,224,2.4452e-05,0.00235827,0.00102289,0.000426614,0.000125984,0.00421563
12078,1,64,8.283e-06,0.00253429,0.000178354,6.0194e-05,1.7591e-05,0.00282184
12079,4,89,9.612e-06,0.00213381,3.7193e-05,0.000109558,5.4146e-05,0.00240059
12080,4,78,8.053e-06,0.00252376,8.861e-06,5.8237e-05,2.3558e-05,0.00265464
12081,7,106,1.6459e-05,0.00214091,0.000188213,0.000111317,2.4888e-05,0.00254578
12082,9,204,2.1779e-05,0.00238419,0.000358059,0.000280954,6.6124e-05,0.00324353
12084,6,91,1.0467e-05,0.00216295,3.1298e-05,0.000123056,2.9187e-05,0.00240763
12085,1,40,5.305e-06,0.0020772,2.8404e-05,3.2886e-05,1.1496e-05,0.00217036
12086,3,56,6.603e-06,0.00211794,9.147e-06,5.1858e-05,2.5939e-05,0.00223764
12087,7,88,8.453e-06,0.00222257,8.8365e-05,0.000127676,3.1294e-05,0.00252872
12088,9,147,1.5489e-05,0.00223889,0.000152854,0.000148585,3.4493e-05,0.00266512
12089,4,39,4.871e-06,0.00252906,7.714e-06,3.4968e-05,1.473e-05,0.00260874
12091,3,53,6.648e-06,0.00208484,6.256e-06,4.1323e-05,2.0356e-05,0.00218014
12092,3,16,4.57e-06,0.00212353,4.827e-06,1.4312e-05,9.916e-06,0.00216687
12094,5,119,1.1699e-05,0.00216967,0.000115699,0.000116302,3.5149e-05,0.00250463
12095,4,62,6.349e-06,0.00256008,9.854e-06,7.1027e-05,2.0407e-05,0.0027171
12096,3,76,7.895e-06,0.00211798,1.0567e-05,6.7657e-05,2.5077e-05,0.00226226
12097,4,59,6.114e-06,0.00250008,0.000227079,5.9356e-05,1.962e-05,0.00284108
12098,4,58,6.78e-06,0.0021438,9.004e-06,5.4703e-05,2.1063e-05,0.00225557
