evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
21,17,293,3.7684e-05,0.00221342,0.000383727,0.000280882,8.22e-05,0.00325553
22,6,130,1.5496e-05,0.00176055,0.000222503,0.000157484,4.3517e-05,0.00227774
23,4,74,7.976e-06,0.00170804,8.411e-06,6.1238e-05,2.6895e-05,0.00184263
24,7,213,2.9963e-05,0.0018907,0.000795734,0.000254944,6.0564e-05,0.00315068
25,9,108,1.1909e-05,0.00168938,0.000245048,0.000115205,3.9875e-05,0.00216395
26,13,600,7.748e-05,0.00278713,0.00331073,0.00122574,0.000475971,0.00870432
27,14,454,5.5818e-05,0.00267497,0.00117413,0.000566983,0.000227104,0.00520486
28,12,291,3.1378e-05,0.00205291,0.000970709,0.00031947,9.6563e-05,0.00373403
29,1,11,2.985e-06,0.00153311,3.807e-06,1.1549e-05,3.425e-06,0.00156282
30,22,418,5.5386e-05,0.00279484,0.00182115,0.000569743,0.000193412,0.00604175
31,7,162,1.8132e-05,0.00223917,0.000417293,0.000237442,5.9247e-05,0.00307603
32,17,699,7.7879e-05,0.00316278,0.00252971,0.000728118,0.000321419,0.00778942
33,15,380,4.1774e-05,0.00246572,0.0010182,0.000631838,0.000167716,0.00470545
34,8,143,1.7835e-05,0.00183913,0.000115085,0.00022458,5.0991e-05,0.00233683
35,9,221,2.6831e-05,0.00197411,0.000312773,0.00029522,6.5476e-05,0.00282207
36,18,455,6.0204e-05,0.00255057,0.00168785,0.000586156,0.000159358,0.00559721
37,10,203,2.5938e-05,0.00203366,0.000382729,0.000204235,0.000101345,0.00291172
38,11,284,3.7708e-05,0.00210137,0.000543172,0.000388442,0.000115596,0.00339988
39,10,299,3.7891e-05,0.0021577,0.000968527,0.00027294,9.0803e-05,0.00376212
40,14,298,3.6824e-05,0.00228954,0.000770513,0.000330515,0.000113311,0.00380195
41,16,386,5.1388e-05,0.00221907,0.00155892,0.000415154,0.000123402,0.00473918
42,13,303,3.2936e-05,0.00218921,0.000731313,0.000348055,0.00010188,0.00370035
43,13,265,2.6281e-05,0.00216601,0.000468313,0.000239202,8.3887e-05,0.00319308
44,20,302,4.0579e-05,0.00248452,0.000413575,0.000254181,8.7385e-05,0.00357573
45,6,93,1.1431e-05,0.0017864,6.9561e-05,0.000129212,3.2785e-05,0.00208041
46,11,338,3.4572e-05,0.0020381,0.000273307,0.000546207,0.000110338,0.00324211
47,13,335,4.2642e-05,0.00239304,0.000936036,0.000357298,0.000118645,0.00415509
48,3,50,7.144e-06,0.00176104,7.268e-06,6.729e-05,2.2365e-05,0.00188737
49,9,319,3.7963e-05,0.00202545,0.00132629,0.000558666,0.000135619,0.00429597
50,5,100,1.4358e-05,0.00175921,0.000165103,0.000145972,3.4367e-05,0.00216978
51,21,397,4.3488e-05,0.00257579,0.00113237,0.000426462,0.000146355,0.00487122
52,8,173,2.1409e-05,0.00199733,3.4752e-05,0.000132796,4.9668e-05,0.00232763
53,20,479,5.6272e-05,0.00305285,0.00147074,0.000540269,0.00017414,0.0059031
54,14,445,4.8984e-05,0.0025242,0.00107105,0.000649747,0.000188336,0.00494608
55,11,255,3.1987e-05,0.00214318,0.000634543,0.000375085,0.000106381,0.00350183
56,13,226,2.8801e-05,0.00211805,0.00105596,0.000225827,7.2912e-05,0.00373976
57,8,122,1.105e-05,0.00187243,5.377e-05,0.000116972,3.2786e-05,0.00214619
58,12,196,3.6576e-05,0.00213217,0.00055955,0.000295296,6.9626e-05,0.0032399
59,17,417,8.8414e-05,0.00298466,0.00246896,0.000788899,0.000243758,0.00713939
