evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
14446,12,307,3.2413e-05,0.00254477,0.000734874,0.000279515,8.7289e-05,0.0039322
14448,2,49,5.498e-06,0.00194379,6.604e-06,4.4355e-05,2.0645e-05,0.0020412
14449,4,90,8.607e-06,0.00198787,0.000149467,9.4904e-05,2.7827e-05,0.00230783
14450,4,112,1.2093e-05,0.00200792,9.9193e-05,0.000115704,3.7708e-05,0.00232831
14451,1,12,4.076e-06,0.00184771,2.402e-06,3.3668e-05,1.2409e-05,0.00191087
14453,5,244,2.4339e-05,0.00215235,0.000197902,0.000446039,8.6061e-05,0.00303201
14454,3,59,5.863e-06,0.00194786,3.3732e-05,5.1852e-05,2.0572e-05,0.00208892
14455,2,50,5.326e-06,0.00235071,5.248e-06,6.1336e-05,2.04e-05,0.00246451
14456,5,108,1.4554e-05,0.0020066,0.000188024,8.2517e-05,2.9062e-05,0.0023807
14457,2,31,4.221e-06,0.00190046,5.551e-06,3.0503e-05,1.4219e-05,0.00196774
14459,2,117,1.1928e-05,0.00216132,0.000750542,0.000119038,3.0224e-05,0.00312049
14461,4,143,1.4671e-05,0.00208462,0.000279104,0.000164463,4.6527e-05,0.00266197
14462,4,134,1.2813e-05,0.00206994,0.000126321,0.000128261,3.4051e-05,0.00242644
14463,1,26,3.722e-06,0.00193465,4.381e-06,2.3722e-05,1.4488e-05,0.00199336
14464,3,59,5.871e-06,0.00193275,6.95e-06,4.8357e-05,2.202e-05,0.0020425
14465,5,69,7.615e-06,0.00194199,1.1776e-05,9.4695e-05,2.5236e-05,0.00211506
14466,4,59,7.555e-06,0.00251803,8.044e-06,5.202e-05,2.4976e-05,0.00263935
14467,5,72,7.741e-06,0.00200573,9.603e-06,7.1776e-05,3.0416e-05,0.00216423
14468,2,61,7.281e-06,0.00199808,6.847e-06,4.1273e-05,1.5561e-05,0.00208811
14469,3,75,7.749e-06,0.00194831,9.908e-06,8.3847e-05,2.6761e-05,0.00210709
14470,5,146,1.4149e-05,0.00211258,0.000247247,0.000153082,4.102e-05,0.00264064
14471,5,163,1.8519e-05,0.00211983,1.8062e-05,0.000127635,4.616e-05,0.00241594
14473,4,69,7.479e-06,0.00205317,6.1314e-05,0.000146137,2.8078e-05,0.00232866
14474,1,26,3.672e-06,0.00189369,3.994e-06,2.337e-05,1.3053e-05,0.00194951
14475,9,252,2.7892e-05,0.00227738,0.000714765,0.000223029,6.8794e-05,0.00343844
14476,2,45,5.439e-06,0.00193656,8.126e-06,5.6743e-05,1.8827e-05,0.00204606
14477,5,106,1.0095e-05,0.00212393,0.000203106,0.000110295,2.8834e-05,0.00252851
14478,4,81,8.192e-06,0.00205363,1.0559e-05,0.000135136,2.6825e-05,0.00227425
14479,4,66,6.784e-06,0.00192714,8.408e-06,5.156e-05,2.1128e-05,0.00204716
14480,2,46,4.983e-06,0.00194428,5.917e-06,4.0446e-05,1.9737e-05,0.0020333
14481,8,195,1.9696e-05,0.0021964,0.000169636,0.000188008,6.0838e-05,0.00276545
14483,4,100,9.361e-06,0.0025363,2.7079e-05,8.4128e-05,3.0912e-05,0.00273233
14484,4,58,5.404e-06,0.00193783,6.493e-06,4.2615e-05,1.9187e-05,0.00203354
14487,9,317,3.0142e-05,0.00245189,0.00148746,0.000339153,8.8409e-05,0.00463366
14488,7,158,1.4908e-05,0.00214537,0.000190471,0.000134557,5.1508e-05,0.0026367
14489,3,96,8.79e-06,0.0023267,0.000170598,0.000103704,2.5968e-05,0.00267614
14490,7,227,2.3072e-05,0.00224849,0.00105184,0.000354931,7.1526e-05,0.00390229
14491,1,25,4.115e-06,0.00194039,5.251e-06,2.537e-05,1.3774e-05,0.00200019
14492,1,24,3.504e-06,0.00225649,6.711e-06,3.5699e-05,1.1755e-05,0.00232452
14494,3,48,4.94e-06,0.00190325,6.103e-06,3.9527e-05,1.9356e-05,0.00199651
14495,11,100,1.1542e-05,0.00202211,0.000133222,0.000136466,3.9913e-05,0.00239382
14496,4,70,7.334e-06,0.00195345,1.0485e-05,8.1012e-05,2.2315e-05,0.00211009
14497,2,29,4.064e-06,0.00233314,8.405e-06,5.0578e-05,1.289e-05,0.00242132
14499,2,34,5.057e-06,0.00187533,5.555e-06,2.9664e-05,1.8153e-05,0.00195047
14501,4,65,6.954e-06,0.00198388,2.3512e-05,6.8881e-05,2.0139e-05,0.00213743
14502,6,97,9.695e-06,0.00233178,5.8534e-05,0.000103653,2.8897e-05,0.00258115
14507,4,91,8.286e-06,0.00201913,0.000208908,0.000111263,3.9127e-05,0.00242652
14508,7,167,1.6091e-05,0.00211065,0.000269273,0.000163681,4.7889e-05,0.002697
14509,2,51,5.61e-06,0.00192671,5.2e-06,4.1536e-05,2.0185e-05,0.00201973
14510,2,38,4.532e-06,0.00234277,6.332e-06,3.2789e-05,1.862e-05,0.00242241
14511,3,36,4.444e-06,0.00190105,7.729e-06,3.8974e-05,1.4264e-05,0.00198353
14513,8,382,4.6645e-05,0.00229472,0.00130137,0.00113133,0.000164451,0.00524474
14514,1,31,4.159e-06,0.00206739,4.447e-06,2.6635e-05,1.2724e-05,0.00212804
14515,3,180,1.578e-05,0.00201825,0.00088348,0.000203653,4.6101e-05,0.00324698
14516,1,14,2.838e-06,0.00186094,4.723e-06,1.6846e-05,1.0773e-05,0.00190826
14517,1,27,3.877e-06,0.00224106,3.73e-06,1.5446e-05,3.726e-06,0.00227968
14518,2,42,5.353e-06,0.00194061,5.71e-06,2.3723e-05,4.128e-06,0.00199561
14519,2,44,4.834e-06,0.00193965,1.5428e-05,3.5054e-05,1.6335e-05,0.00203003
14520,7,137,1.4128e-05,0.00205496,0.000488717,0.000156829,4.8352e-05,0.00285294
14522,5,101,1.0257e-05,0.00194531,0.000186444,0.000108802,2.9295e-05,0.00233268
14524,4,81,8.637e-06,0.00198709,1.0727e-05,9.4374e-05,3.1219e-05,0.00216897
14528,5,79,9.122e-06,0.00196341,1.0666e-05,8.674e-05,2.656e-05,0.00213052
14530,7,147,2.2513e-05,0.00196834,0.000427838,0.000133704,3.2573e-05,0.00267919
14531,1,23,3.622e-06,0.00194403,3.906e-06,2.338e-05,1.299e-05,0.00199991
14533,8,198,2.0519e-05,0.00219202,0.00117278,0.000246924,6.4564e-05,0.00383798
14534,2,416,3.6593e-05,0.00220802,0.00233639,0.000377181,8.9025e-05,0.0052182
14535,8,169,1.5655e-05,0.00214133,0.000217242,0.000185179,5.3147e-05,0.00271006
14536,6,68,6.897e-06,0.00194644,1.196e-05,8.6433e-05,2.5361e-05,0.00210629
14537,3,55,6.559e-06,0.00193805,4.921e-06,4.4954e-05,2.0006e-05,0.00203659
14538,2,37,3.893e-06,0.00189782,5.781e-06,3.3195e-05,1.772e-05,0.00197454
14539,1,25,3.774e-06,0.0019113,3.759e-06,2.2038e-05,1.291e-05,0.00196402
14540,3,66,6.668e-06,0.00191214,6.723e-06,5.1183e-05,2.6889e-05,0.00203269
14541,5,109,9.923e-06,0.00196909,9.9466e-05,9.2353e-05,3.2906e-05,0.00226259
14543,6,123,1.1809e-05,0.00203633,0.000182374,0.000119307,3.8426e-05,0.0024508
14544,6,134,1.3498e-05,0.00201902,0.000123672,0.000102,3.4855e-05,0.00236519
14545,9,188,1.9529e-05,0.00225241,0.000338994,0.000171982,5.415e-05,0.00295225
14547,1,29,4.444e-06,0.00201156,3.928e-06,2.6413e-05,1.4248e-05,0.00207347
14548,7,205,2.099e-05,0.00213004,0.000534943,0.000238101,5.6138e-05,0.00310699
14549,4,204,2.1516e-05,0.00206546,0.000536842,0.00020144,4.59e-05,0.00295839
14550,1,24,3.654e-06,0.00186334,3.739e-06,2.2981e-05,1.2739e-05,0.00191781
14551,2,38,4.925e-06,0.00195766,8.922e-06,8.6075e-05,1.7574e-05,0.00209475
14552,4,138,1.4084e-05,0.00199137,8.0054e-05,0.000152447,3.693e-05,0.00234188
14553,4,81,7.782e-06,0.00201075,0.000202701,9.2003e-05,2.9138e-05,0.00242584
14555,1,30,4.184e-06,0.00192404,4.24e-06,1.9816e-05,4.82e-06,0.00196996
14557,4,67,6.551e-06,0.00191103,8.265e-06,5.2497e-05,2.0638e-05,0.00202672
14558,2,20,3.353e-06,0.00190728,7.348e-06,2.7648e-05,1.0753e-05,0.00196668
14559,4,74,7.286e-06,0.00196065,1.3243e-05,9.5114e-05,3.4274e-05,0.00214787
14562,4,104,1.0113e-05,0.00206069,1.0305e-05,8.0139e-05,3.4047e-05,0.00223891
14563,4,132,1.225e-05,0.00202561,1.1006e-05,9.6612e-05,3.3755e-05,0.00224406
14564,1,14,3.746e-06,0.00224929,2.616e-06,4.5492e-05,2.0354e-05,0.00233197
14565,2,55,5.755e-06,0.00193393,6.447e-06,4.422e-05,2.1144e-05,0.00203334
14566,4,99,1.0297e-05,0.00195453,3.1077e-05,0.000116712,2.0656e-05,0.00218164
14567,9,520,6.0594e-05,0.00323877,0.00148457,0.00101098,0.000201579,0.00647525
14568,3,65,6.247e-06,0.00198489,0.000173233,7.9746e-05,1.9514e-05,0.00229296
14569,4,108,1.0594e-05,0.00204905,7.1176e-05,9.5581e-05,2.5933e-05,0.00230229
14570,9,293,3.1332e-05,0.00235729,0.000611348,0.000343973,9.3518e-05,0.00366826
14571,3,64,6.773e-06,0.00234687,8.623e-06,5.315e-05,2.5785e-05,0.0024713
14572,1,18,3.277e-06,0.00230338,6.735e-06,2.4253e-05,1.1107e-05,0.00235924
14573,5,205,2.0058e-05,0.00201233,0.000978664,0.000226544,6.2667e-05,0.00340031
14574,7,113,1.0738e-05,0.00203956,4.1167e-05,8.0741e-05,2.8689e-05,0.00225609
14575,3,118,1.1166e-05,0.00200848,0.000128239,0.000115212,3.2801e-05,0.0023448
14576,6,149,1.4334e-05,0.00209649,0.000336056,0.000310101,6.7027e-05,0.00291078
14578,4,113,1.0307e-05,0.00200271,9.4113e-05,0.000105766,3.7339e-05,0.002298
14579,1,23,3.567e-06,0.00186878,6.325e-06,2.7109e-05,1.6569e-05,0.00193445
14580,9,220,2.6872e-05,0.00235803,0.000388235,0.000275031,6.66e-05,0.00325639
14581,6,148,1.4434e-05,0.00199878,0.00023679,0.000294529,4.6179e-05,0.00267101
14583,3,94,9.074e-06,0.0023721,6.955e-06,5.7261e-05,2.355e-05,0.00250843
14584,2,15,3.819e-06,0.00185372,6.124e-06,2.1471e-05,3.975e-06,0.00189985
14586,9,293,3.2824e-05,0.00218457,4.9079e-05,0.00150767,0.000192549,0.00418253
14587,5,265,4.5724e-05,0.00228842,1.1572e-05,0.00318216,0.000326266,0.006022
14589,3,78,7.845e-06,0.00197163,9.954e-06,7.2625e-05,2.6073e-05,0.00212272
14590,7,148,1.5125e-05,0.00205001,0.000328522,0.000152318,5.0346e-05,0.00268629
14591,3,63,6.372e-06,0.00236249,1.0129e-05,8.7971e-05,2.4683e-05,0.00252016
14592,2,35,4.531e-06,0.00208834,5.713e-06,2.921e-05,1.4137e-05,0.00215846
14593,4,39,4.955e-06,0.00197427,8.029e-06,4.3513e-05,1.8429e-05,0.00207022
14596,2,27,3.598e-06,0.00188489,3.959e-06,2.2879e-05,1.3552e-05,0.00193924
14597,11,144,2.5178e-05,0.00247362,0.000353825,0.000318144,5.5932e-05,0.00334135
14601,2,74,6.828e-06,0.00191866,0.000121275,5.1969e-05,1.7681e-05,0.00214379
14603,4,91,8.919e-06,0.00193295,0.000217344,9.8945e-05,1.9191e-05,0.00231989
14604,6,103,1.0982e-05,0.00193049,0.000126352,0.000199324,4.3121e-05,0.00236934
14605,1,25,3.524e-06,0.00186631,3.797e-06,2.3255e-05,1.3463e-05,0.00192174
14606,1,23,3.31e-06,0.00260202,4.621e-06,2.2445e-05,1.2671e-05,0.00265731
14608,4,56,5.655e-06,0.00192416,7.958e-06,4.9579e-05,2.0438e-05,0.0020361
14609,1,27,3.383e-06,0.00192087,4.21e-06,2.3199e-05,1.3068e-05,0.00197593
