evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
176,9,142,0.000290969,0.015222,0.000219262,0.00182575,4.7134e-05,0.0181994
177,5,60,0.000209467,0.0134951,1.4034e-05,0.00153991,5.9546e-05,0.0157369
178,2,44,0.000172298,0.00894271,1.0815e-05,0.00165656,2.311e-05,0.011274
179,4,63,0.000412798,0.00984016,0.00142616,0.00136623,0.000273961,0.0137944
180,2,49,0.000165406,0.0115708,1.4395e-05,0.0014808,9.616e-05,0.0136926
182,2,34,0.000143882,0.00972595,3.6782e-05,0.00118919,1.9772e-05,0.0114384
184,1,26,0.000123848,0.00593198,3.251e-06,0.000554576,1.4351e-05,0.00682117
185,3,60,0.000252068,0.0116527,0.000847886,0.0025929,0.000357678,0.0162286
186,4,84,0.000305453,0.0168491,0.00175057,0.0037125,0.000322976,0.0235696
187,3,172,0.000625648,0.0272803,0.00436718,0.00360192,0.000890341,0.037991
189,4,98,0.000306425,0.0194008,1.7661e-05,0.002474,3.1092e-05,0.0229905
190,2,48,0.000254112,0.0119532,2.4386e-05,0.00129518,2.024e-05,0.0139443
191,7,198,0.000537845,0.0291387,0.0041001,0.00459515,8.8741e-05,0.0397992
194,1,24,8.3128e-05,0.00503155,1.7972e-05,0.000509313,1.06e-05,0.00579462
195,1,25,0.000160562,0.0085642,1.4253e-05,0.000612696,1.1369e-05,0.00955341
196,1,29,0.000100933,0.00985913,3.897e-06,0.00120513,1.3377e-05,0.0114292
198,8,294,0.000697458,0.046039,0.0281776,0.0270754,0.000182694,0.10718
201,1,22,8.1201e-05,0.00693282,2.0463e-05,0.000488873,8.735e-06,0.00765491
202,2,52,0.00015172,0.0153231,1.4237e-05,0.00218933,2.3043e-05,0.018209
203,2,27,8.6405e-05,0.00626262,5.253e-06,0.000574924,1.4825e-05,0.00718594
204,8,108,0.000314142,0.0192087,2.6709e-05,0.00225504,6.278e-05,0.0225856
205,4,34,9.8418e-05,0.00588896,1.2555e-05,0.000939888,0.000128367,0.00731807
206,3,113,0.000315225,0.0227444,0.000652236,0.00468402,9.8272e-05,0.0295805
207,6,153,0.000412693,0.0314562,0.0100509,0.00557178,0.000113382,0.0488103
209,4,94,0.000297933,0.0202216,8.687e-06,0.00287189,2.5476e-05,0.0241874
210,2,31,0.000117602,0.00842307,5.836e-06,0.000565183,1.4945e-05,0.00932895
211,2,48,0.000131045,0.00920241,1.2655e-05,0.00126846,2.1262e-05,0.011109
212,5,64,0.000406794,0.00912452,0.00011739,0.00203207,0.00010675,0.0121346
213,8,169,0.000517835,0.0316416,0.00252148,0.00516497,0.000275483,0.0414496
214,4,181,0.000449757,0.0319574,0.000939604,0.00534966,9.6621e-05,0.0401466
215,3,78,0.000268921,0.0152309,3.0987e-05,0.00303376,0.000118385,0.0192708
216,8,188,0.00063571,0.0328188,0.00310426,0.00441478,0.000351174,0.0427096
217,6,270,0.000654409,0.0363816,0.0140009,0.0298962,0.000152535,0.116032
220,4,113,0.000332296,0.0203668,0.00147857,0.00288999,2.747e-05,0.0259946
221,2,47,0.000263442,0.0105503,0.00364571,0.00142705,1.8361e-05,0.0163847
223,5,108,0.000326008,0.0200034,1.8949e-05,0.00272512,6.6769e-05,0.0239144
224,8,148,0.000478601,0.034489,0.0156737,0.0103712,0.000137489,0.0630146
225,2,33,0.000148443,0.00567417,3.559e-06,0.000620871,1.6476e-05,0.006653
227,3,49,0.000134783,0.0098824,0.000787952,0.00113685,4.3558e-05,0.0122517
228,7,95,0.000356626,0.0192939,0.000453471,0.00208972,0.000212588,0.0230633
229,1,27,0.000163574,0.00752631,3.13e-06,0.000671877,1.4063e-05,0.00858951
232,5,87,0.000256184,0.0143117,0.000295673,0.00224732,0.000117307,0.0264692
233,1,26,0.000162257,0.00701235,4.186e-06,0.000686095,1.3837e-05,0.00818336
235,6,90,0.000419719,0.0144961,7.6223e-05,0.00210235,0.000122913,0.0178159
236,9,253,0.000703235,0.040934,0.0158584,0.0160764,0.000406341,0.0764302
237,2,53,0.000176479,0.0102707,1.0854e-05,0.00154834,1.9553e-05,0.0124528
239,6,122,0.000353668,0.0208216,0.00173814,0.0029965,9.3046e-05,0.0267793
240,6,260,0.000421904,0.0275576,0.0245495,0.00686969,9.0234e-05,0.0609995
242,6,101,0.000310429,0.0165284,0.00176151,0.00224401,0.000143431,0.0217026
243,5,82,0.000182249,0.019969,0.000914809,0.00269871,0.000131516,0.0243291
245,4,101,0.000316115,0.0213477,1.7652e-05,0.00273703,2.9942e-05,0.0252702
247,2,11,0.000103224,0.00441507,1.7983e-05,0.000215881,6.4493e-05,0.00489781
248,2,36,7.9501e-05,0.00377549,6.307e-06,5.4941e-05,2.878e-05,0.00400016
249,7,99,0.000343347,0.0195932,4.4743e-05,0.00279203,7.4362e-05,0.0237262
250,1,24,0.000122349,0.00711538,3.2736e-05,0.00112918,1.9727e-05,0.00880749
251,3,91,0.000230291,0.0280162,0.00429267,0.00428799,6.0101e-05,0.0378464
252,3,53,0.000220136,0.0132173,8.051e-06,0.00148596,1.9349e-05,0.01538
253,4,71,0.000197056,0.013749,0.000166297,0.00257239,0.000160039,0.0179439
255,2,107,0.000202505,0.0274217,0.00781831,0.00443417,7.9924e-05,0.0406702
256,4,97,0.000274284,0.0185403,0.0013934,0.0129696,6.672e-05,0.035706
257,1,11,1.3221e-05,0.00381482,5.06e-06,6.4255e-05,2.5269e-05,0.00395659
259,6,153,0.000397107,0.0300103,0.00465874,0.0049302,4.3451e-05,0.0412408
261,3,95,0.000406541,0.0184966,5.722e-06,0.0506205,2.7559e-05,0.0759198
262,2,26,0.000118455,0.00604902,1.3762e-05,0.000572229,1.5365e-05,0.00694829
266,4,105,0.00034005,0.0233976,0.00170312,0.00314009,0.000110612,0.0295144
267,6,160,0.00027815,0.0201963,0.00349492,0.0151483,4.5612e-05,0.0420355
268,2,29,0.00014566,0.00796962,3.725e-06,0.00114488,1.4466e-05,0.00955322
269,4,93,0.000281284,0.0201982,2.5569e-05,0.00281644,5.9739e-05,0.02414
270,8,101,0.000305715,0.0202968,4.4566e-05,0.00391236,3.3698e-05,0.0254732
271,1,28,0.000156168,0.00761386,3.363e-06,0.000653916,3.2294e-05,0.00872018
272,4,66,0.000207946,0.0101462,1.9886e-05,0.00114404,2.6492e-05,0.0119435
273,1,25,0.000159284,0.0101605,3.531e-06,0.00138128,1.3758e-05,0.0119723
274,4,98,0.000275709,0.0196517,8.2421e-05,0.00365516,9.1835e-05,0.0245015
275,2,33,0.000115123,0.00677671,2.241e-05,0.000967272,1.8124e-05,0.00810158
276,6,101,0.000182997,0.0243974,0.000128719,0.00384168,7.8752e-05,0.0294396
277,5,85,0.000264721,0.0201152,0.00103185,0.00357372,7.0843e-05,0.0263306
280,2,32,0.000145323,0.00797457,6.204e-06,0.00107738,1.3818e-05,0.00948679
281,5,103,0.000343796,0.0191292,0.000256606,0.00236779,0.000146703,0.0229771
283,7,79,0.000422856,0.0155023,0.00272253,0.00228729,6.6704e-05,0.0216419
284,7,157,0.000506206,0.0310078,0.00109694,0.00573698,5.6209e-05,0.040284
286,6,116,0.000367822,0.018375,0.00531095,0.00293257,8.6584e-05,0.0279516
288,8,161,0.000454658,0.0229663,0.0022868,0.00309915,9.985e-05,0.029956
289,3,144,0.000384976,0.0275473,0.00140809,0.00350906,5.7472e-05,0.0339666
290,6,151,0.000523897,0.0322671,0.00646687,0.00491306,0.000228261,0.045692
294,4,86,0.000318818,0.0174997,1.0438e-05,0.00172035,2.6423e-05,0.0201873
295,4,90,0.000258047,0.0170085,2.4126e-05,0.00220069,6.1937e-05,0.0202911
296,3,77,0.000220948,0.0195996,0.000249786,0.00306596,2.5312e-05,0.0238387
298,3,47,0.000212905,0.00966461,4.599e-06,0.00113155,1.8903e-05,0.0114329
299,2,45,0.000108125,0.0149727,0.00154111,0.00261032,1.8744e-05,0.0195722
300,5,131,0.000369029,0.0257845,0.0053709,0.0049063,4.1758e-05,0.0377248
301,2,51,0.000257101,0.0122772,3.3197e-05,0.0028359,2.0346e-05,0.0158272
302,4,80,0.000227159,0.0149005,0.000801587,0.00290305,3.132e-05,0.019624
304,4,77,0.000187534,0.0131589,0.00108889,0.00203623,0.000165366,0.0174948
305,1,14,2.9891e-05,0.00263669,4.656e-06,5.248e-05,2.7575e-05,0.00280654
306,2,51,0.000201639,0.0100776,5.014e-06,0.00146893,2.3193e-05,0.0125053
307,5,166,0.000359223,0.0215465,0.00589504,0.00422196,0.000176869,0.0330409
308,2,42,0.00015178,0.0105664,1.3182e-05,0.00172088,2.1755e-05,0.0128988
310,6,136,0.000522953,0.0256019,0.00428301,0.0040207,7.5348e-05,0.0355889
311,8,181,0.000474388,0.0284902,0.00655493,0.00438892,0.00028521,0.0413818
312,7,143,0.000308957,0.0245324,0.00299887,0.028879,0.000113182,0.0887517
313,1,19,7.2379e-05,0.00709183,8.753e-06,0.000766289,1.4041e-05,0.00813029
314,1,26,0.000196647,0.00848884,3.402e-06,0.000536495,1.328e-05,0.00943145
316,6,139,0.000554495,0.0285378,0.00366524,0.0101236,0.000544238,0.0451026
317,1,21,6.9608e-05,0.00679818,1.1052e-05,0.000663793,1.793e-05,0.00793957
318,6,235,0.000428515,0.0514762,0.0230292,0.0342665,5.2871e-05,0.113786
319,7,104,0.000346667,0.0175089,6.9764e-05,0.00234477,4.1465e-05,0.0210242
