#######
#
# prefix ,m, means Monte Carlo, theta is in rad, thetaDeg is theta converted to deg
# Values equal to -10000.0 correspond to hits with a bad MC MVD value (noise)
# those values have to be excluded (not real hits, ghosts or compute errors).
#
# EvtNum x y z mx  my mz r theta thetaDeg mr mtheta mthetaDeg isochrone type trackID timeStamp detID 
#
#######
EvtNum,x,y,z,mx,my,mz,r,theta,thetaDeg,mr,mtheta,mthetaDeg,isochrone,type,trackID,timeStamp,detID
0,13.1722,-12.675,39.3,-16.6225,1.5134,27.6821,18.2801,-0.766163,-43.8979,16.6912,3.0508,174.798,0.000697455,1,342,0,25
0,12.2941,-13.182,39.3,-17.0199,2.33595,28.1676,18.0253,-0.820237,-46.9961,17.1795,3.0052,172.185,0.456204,1,342,0,24
0,4.39088,-22.8152,39.3,-17.3668,3.08796,28.6073,23.2339,-1.38067,-79.1064,17.6392,2.96562,169.918,0.111094,1,342,0,129
0,5.26903,-22.3082,39.3,-17.7438,3.93043,29.0971,22.922,-1.33885,-76.7107,18.1739,2.9236,167.51,0.277981,1,342,0,128
0,4.11873,-27.3417,100.062,-18.0648,4.674,29.5261,27.6502,-1.42128,-81.4334,18.6596,2.88841,165.494,0.328068,1,342,0,239
0,24.2537,-15.7168,-21.4618,-18.4209,5.53378,30.0183,28.9009,-0.574979,-32.9439,19.2341,2.84976,163.279,0.0366055,1,342,0,238
0,4.55874,-27.0877,90.0747,-18.7702,6.40964,30.5171,27.4686,-1.40406,-80.4469,19.8344,2.81253,161.146,0.454411,1,342,0,237
0,11.1806,-25.4493,39.3,-19.048,7.1431,30.9325,27.797,-1.15685,-66.2828,20.3434,2.78282,159.444,0.20272,1,342,0,354
0,12.0587,-24.9423,39.3,-19.3736,8.03339,31.4343,27.7043,-1.12046,-64.1979,20.9731,2.74851,157.478,0.146656,1,342,0,353
0,12.9369,-24.4353,39.3,-19.6908,8.93883,31.9415,27.6486,-1.08388,-62.1018,21.6248,2.71545,155.584,0.465052,1,342,0,352
0,21.0757,-26.3643,39.3,-19.9264,9.65707,32.341,33.753,-0.896418,-51.361,22.1431,2.69031,154.143,0.241445,1,342,0,475
0,20.1976,-26.8713,39.3,-20.2161,10.5747,32.8495,33.6156,-0.926244,-53.0699,22.8148,2.65965,152.387,0.132468,1,342,0,474
0,19.3194,-27.3783,39.3,-20.4963,11.5046,33.3625,33.5084,-0.956289,-54.7913,23.5044,2.63012,150.695,0.383726,1,342,0,473
0,9.65958,-35.9969,39.3,-20.6957,12.2033,33.745,37.2704,-1.30863,-74.9789,24.0257,2.60881,149.474,0.331608,1,342,0,602
0,15.807,-9.126,39.3,-20.9494,13.1414,34.2558,18.2523,-0.52359,-29.9995,24.73,2.58134,147.9,0.0657222,1,342,0,736
0,21.954,4.563,39.3,-21.1913,14.0911,34.7719,22.4232,0.204926,11.7414,25.4486,2.55478,146.378,0.214309,1,342,0,876
0,25.738,12.6357,8.49973,-21.4425,15.1459,35.3436,28.6724,0.456371,26.1481,26.2522,2.52662,144.765,0.325612,1,342,0,1019
0,28.508,15.1729,90.0747,-21.5964,15.8368,35.7171,32.2943,0.489099,28.0233,26.7808,2.50886,143.747,0.396462,1,342,0,1214
0,36.004,1.521,39.3,-21.8868,17.2706,36.4907,36.0361,0.0422202,2.41904,27.8801,2.47354,141.724,0.0583226,1,342,0,1413
0,8.78135,17.2377,39.3,-22.0652,18.245,37.0153,19.3456,1.09964,63.0045,28.6314,2.45068,140.414,0.234919,1,342,0,1619
0,4.55866,28.1016,-11.4747,-22.2434,19.3132,37.5898,28.4689,1.40998,80.7857,29.458,2.42659,139.033,0.485073,1,342,0,1832
